"id","orig","uri","friendly","friendlyshow"
0,"Dbpedia_URL_type_http://dbpedia.org/class/yago/SocialistStates","https://en.wikipedia.org/wiki/Category:Socialist_states","SocialistStates","Socialist states"
4,"Dbpedia_URL_type_http://dbpedia.org/class/yago/IslandsOfTheIndianOcean","https://en.wikipedia.org/wiki/Category:Islands_of_the_Indian_Ocean","IslandsOfTheIndianOcean","Islands of the Indian Ocean"
8,"Dbpedia_URL_type_http://dbpedia.org/class/yago/EuropeanCountries",,"EuropeanCountries","European countries"
9,"Dbpedia_URL_type_http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1960","https://en.wikipedia.org/wiki/Category:States_and_territories_established_in_1960","StatesAndTerritoriesEstablishedIn1960","States and territories established In 1960"
12,"Dbpedia_URL_type_http://dbpedia.org/class/yago/Malay-speakingCountriesAndTerritories","https://en.wikipedia.org/wiki/Category:Malay-speaking_countries_and_territories","MalayspeakingCountriesAndTerritories","Malayspeaking countries and territories"
14,"Dbpedia_URL_type_http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1962","https://en.wikipedia.org/wiki/Category:States_and_territories_established_in_1962","StatesAndTerritoriesEstablishedIn1962","States and territories established In 1962"
15,"Dbpedia_URL_type_http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1963","https://en.wikipedia.org/wiki/Category:States_and_territories_established_in_1963","StatesAndTerritoriesEstablishedIn1963","States and territories established In 1963"
17,"Dbpedia_URL_type_http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1966","https://en.wikipedia.org/wiki/Category:States_and_territories_established_in_1966","StatesAndTerritoriesEstablishedIn1966","States and territories established In 1966"
25,"Dbpedia_URL_type_http://dbpedia.org/class/yago/MemberStatesOfTheCouncilOfEurope","https://en.wikipedia.org/wiki/Category:Member_states_of_the_Council_of_Europe","MemberStatesOfTheCouncilOfEurope","Member states of the Council of Europe"
28,"Dbpedia_URL_type_http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1956","https://en.wikipedia.org/wiki/Category:States_and_territories_established_in_1956","StatesAndTerritoriesEstablishedIn1956","States and territories established In 1956"
30,"Dbpedia_URL_type_http://dbpedia.org/class/yago/English-speakingCountriesAndTerritories","https://en.wikipedia.org/wiki/Category:English-speaking_countries_and_territories","EnglishspeakingCountriesAndTerritories","Englishspeaking countries and territories"
33,"Dbpedia_URL_type_http://dbpedia.org/class/yago/MemberStatesOfTheCommunityOfPortugueseLanguageCountries","https://en.wikipedia.org/wiki/Category:Member_states_of_the_Community_of_Portuguese_Language_Countries","MemberStatesOfTheCommunityOfPortugueseLanguageCountries","Member states of the Community of Portuguese Language countries"
35,"Dbpedia_URL_type_http://dbpedia.org/class/yago/Developing8CountriesMemberStates","https://en.wikipedia.org/wiki/Category:Developing_8_Countries_member_states","Developing8CountriesMemberStates","Developing 8 countries Member states"
36,"Dbpedia_URL_type_http://dbpedia.org/class/yago/EuropeanUnionMemberEconomies","https://en.wikipedia.org/wiki/Category:European_Union_member_economies","EuropeanUnionMemberEconomies","European Union Member Economies"
42,"Dbpedia_URL_type_http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1947","https://en.wikipedia.org/wiki/Category:States_and_territories_established_in_1947","StatesAndTerritoriesEstablishedIn1947","States and territories established In 1947"
45,"Dbpedia_URL_type_http://dbpedia.org/class/yago/FederalCountries","https://en.wikipedia.org/wiki/Category:Federal_countries","FederalCountries","Federal countries"
48,"Dbpedia_URL_type_http://dbpedia.org/class/yago/MemberStatesOfNATO","https://en.wikipedia.org/wiki/Category:Member_states_of_NATO","MemberStatesOfNATO","Member states of NATO"
52,"Dbpedia_URL_type_http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1932","https://en.wikipedia.org/wiki/Category:States_and_territories_established_in_1932","StatesAndTerritoriesEstablishedIn1932","States and territories established In 1932"
58,"Dbpedia_URL_type_http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1918","https://en.wikipedia.org/wiki/Category:States_and_territories_established_in_1918","StatesAndTerritoriesEstablishedIn1918","States and territories established In 1918"
72,"Dbpedia_URL_type_http://dbpedia.org/class/yago/WorldTradeOrganizationMemberEconomies","https://en.wikipedia.org/wiki/Category:World_Trade_Organization_member_economies","WorldTradeOrganizationMemberEconomies","World Trade Organization Member Economies"
74,"Dbpedia_URL_type_http://dbpedia.org/class/yago/MemberStatesOfTheUnitedNations","https://en.wikipedia.org/wiki/Category:Member_states_of_the_United_Nations","MemberStatesOfTheUnitedNations","Member states of the United Nations"
84,"Dbpedia_URL_type_http://dbpedia.org/class/yago/NUTS2StatisticalRegionsOfTheEuropeanUnion","https://en.wikipedia.org/wiki/Category:NUTS_2_statistical_regions_of_the_European_Union","NUTS2StatisticalRegionsOfTheEuropeanUnion","NUTS2 statistical Regions of the European Union"
86,"Dbpedia_URL_type_http://dbpedia.org/class/yago/MemberStatesOfLaFrancophonie","https://en.wikipedia.org/wiki/Category:Member_states_of_La_Francophonie","MemberStatesOfLaFrancophonie","Member states of La Francophonie"
92,"Dbpedia_URL_type_http://dbpedia.org/class/yago/DividedRegions","https://en.wikipedia.org/wiki/Category:Divided_regions","DividedRegions","Divided Regions"
