"id","orig","uri","friendly","friendlyshow"
94,"Dbpedia_URL_type_http://dbpedia.org/class/yago/Arabic-speakingCountriesAndTerritories","https://en.wikipedia.org/wiki/Category:Arabic-speaking_countries_and_territories","ArabicspeakingCountriesAndTerritories","Arabicspeaking countries and territories"
98,"Dbpedia_URL_type_http://dbpedia.org/class/yago/WesternAsianCountries","https://en.wikipedia.org/wiki/Category:Western_Asian_countries","WesternAsianCountries","Western Asian countries"
99,"Dbpedia_URL_type_http://dbpedia.org/class/yago/MiddleEasternCountries","https://en.wikipedia.org/wiki/Category:Middle_Eastern_countries","MiddleEasternCountries","Middle Eastern countries"
101,"Dbpedia_URL_type_http://dbpedia.org/class/yago/LandlockedCountries","https://en.wikipedia.org/wiki/Category:Landlocked_countries","LandlockedCountries","Landlocked countries"
102,"Dbpedia_URL_type_http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1830","https://en.wikipedia.org/wiki/Category:States_and_territories_established_in_1830","StatesAndTerritoriesEstablishedIn1830","States and territories established In 1830"
110,"Dbpedia_URL_type_http://dbpedia.org/class/yago/AfricanCountries",,"AfricanCountries","African countries"
111,"Dbpedia_URL_type_http://dbpedia.org/class/yago/MemberStatesOfTheSouthAsianAssociationForRegionalCooperation","https://en.wikipedia.org/wiki/Category:Member_states_of_the_South_Asian_Association_for_Regional_Cooperation","MemberStatesOfTheSouthAsianAssociationForRegionalCooperation","Member states of the South Asian Association for Regional Cooperation"
112,"Dbpedia_URL_type_http://dbpedia.org/class/yago/SoutheastAsianCountries","https://en.wikipedia.org/wiki/Category:Southeast_Asian_countries","SoutheastAsianCountries","Southeast Asian countries"
121,"Dbpedia_URL_type_http://dbpedia.org/class/yago/MemberStatesOfTheAfricanUnion","https://en.wikipedia.org/wiki/Category:Member_states_of_the_African_Union","MemberStatesOfTheAfricanUnion","Member states of the African Union"
132,"Dbpedia_URL_type_http://dbpedia.org/class/yago/MemberStatesOfMercosur","https://en.wikipedia.org/wiki/Category:Member_states_of_Mercosur","MemberStatesOfMercosur","Member states of Mercosur"
136,"Dbpedia_URL_type_http://dbpedia.org/class/yago/AreasOfTraditionalSpreadOfUkrainiansAndUkrainianLanguage","https://en.wikipedia.org/wiki/Category:Areas_of_traditional_spread_of_Ukrainians_and_Ukrainian_language","AreasOfTraditionalSpreadOfUkrainiansAndUkrainianLanguage","Areas of Traditional Spread of Ukrainians and Ukrainian Language"
137,"Dbpedia_URL_type_http://dbpedia.org/class/yago/Ukrainian-speakingCountriesAndTerritories","https://en.wikipedia.org/wiki/Category:Ukrainian-speaking_countries_and_territories","UkrainianspeakingCountriesAndTerritories","Ukrainianspeaking countries and territories"
153,"Dbpedia_URL_type_http://dbpedia.org/class/yago/MemberStatesOfTheArabLeague","https://en.wikipedia.org/wiki/Category:Member_states_of_the_Arab_League","MemberStatesOfTheArabLeague","Member states of the Arab League"
154,"Dbpedia_URL_type_http://dbpedia.org/class/yago/MemberStatesOfOPEC","https://en.wikipedia.org/wiki/Category:Member_states_of_OPEC","MemberStatesOfOPEC","Member states of OPEC"
155,"Dbpedia_URL_type_http://dbpedia.org/class/yago/MemberStatesOfTheAssociationOfSoutheastAsianNations","https://en.wikipedia.org/wiki/Category:Member_states_of_the_Association_of_Southeast_Asian_Nations","MemberStatesOfTheAssociationOfSoutheastAsianNations","Member states of the Association of Southeast Asian Nations"
156,"Dbpedia_URL_type_http://dbpedia.org/class/yago/MemberStatesOfTheCommonwealthOfNations","https://en.wikipedia.org/wiki/Category:Member_states_of_the_Commonwealth_of_Nations","MemberStatesOfTheCommonwealthOfNations","Member states of the Commonwealth of Nations"
157,"Dbpedia_URL_type_http://dbpedia.org/class/yago/IslandCountries","https://en.wikipedia.org/wiki/Category:Island_countries","IslandCountries","Island countries"
160,"Dbpedia_URL_type_http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1991","https://en.wikipedia.org/wiki/Category:States_and_territories_established_in_1991","StatesAndTerritoriesEstablishedIn1991","States and territories established In 1991"
161,"Dbpedia_URL_type_http://dbpedia.org/class/yago/Swahili-speakingCountriesAndTerritories","https://en.wikipedia.org/wiki/Category:Swahili-speaking_countries_and_territories","SwahilispeakingCountriesAndTerritories","Swahilispeaking countries and territories"
166,"Dbpedia_URL_type_http://dbpedia.org/class/yago/MemberStatesOfTheUnionForTheMediterranean","https://en.wikipedia.org/wiki/Category:Member_states_of_the_Union_for_the_Mediterranean","MemberStatesOfTheUnionForTheMediterranean","Member states of the Union for the Mediterranean"
167,"Dbpedia_URL_type_http://dbpedia.org/class/yago/MemberStatesOfTheEuropeanUnion","https://en.wikipedia.org/wiki/Category:Member_states_of_the_European_Union","MemberStatesOfTheEuropeanUnion","Member states of the European Union"
168,"Dbpedia_URL_type_http://dbpedia.org/class/yago/SouthAmericanCountries",,"SouthAmericanCountries","South American countries"
174,"Dbpedia_URL_type_http://dbpedia.org/class/yago/CountriesBorderingTheAtlanticOcean",,"CountriesBorderingTheAtlanticOcean","countries Bordering the Atlantic Ocean"
181,"Dbpedia_URL_type_http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1975","https://en.wikipedia.org/wiki/Category:States_and_territories_established_in_1975","StatesAndTerritoriesEstablishedIn1975","States and territories established In 1975"
183,"Dbpedia_URL_type_http://dbpedia.org/class/yago/MemberStatesOfTheOrganisationOfIslamicCooperation","https://en.wikipedia.org/wiki/Category:Member_states_of_the_Organisation_of_Islamic_Cooperation","MemberStatesOfTheOrganisationOfIslamicCooperation","Member states of the Organisation of Islamic Cooperation"
185,"Dbpedia_URL_type_http://dbpedia.org/class/yago/LeastDevelopedCountries","https://en.wikipedia.org/wiki/Category:Least_developed_countries","LeastDevelopedCountries","Least Developed countries"
187,"Dbpedia_URL_type_http://dbpedia.org/class/yago/BalticStates","https://en.wikipedia.org/wiki/Category:Baltic_states","BalticStates","Baltic states"
188,"Dbpedia_URL_type_http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1971","https://en.wikipedia.org/wiki/Category:States_and_territories_established_in_1971","StatesAndTerritoriesEstablishedIn1971","States and territories established In 1971"
191,"Dbpedia_URL_type_http://dbpedia.org/class/yago/IslamicStates","https://en.wikipedia.org/wiki/Category:Islamic_states","IslamicStates","Islamic states"
192,"Dbpedia_URL_type_http://dbpedia.org/class/yago/AfricanUnionMemberEconomies","https://en.wikipedia.org/wiki/Category:African_Union_member_economies","AfricanUnionMemberEconomies","African Union Member Economies"
199,"Dbpedia_URL_type_http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1981","https://en.wikipedia.org/wiki/Category:States_and_territories_established_in_1981","StatesAndTerritoriesEstablishedIn1981","States and territories established In 1981"
200,"Dbpedia_URL_type_http://dbpedia.org/class/yago/BantuCountriesAndTerritories","https://en.wikipedia.org/wiki/Category:Bantu_countries_and_territories","BantuCountriesAndTerritories","Bantu countries and territories"
205,"Dbpedia_URL_type_http://dbpedia.org/class/yago/SouthAsianCountries","https://en.wikipedia.org/wiki/Category:South_Asian_countries","SouthAsianCountries","South Asian countries"
206,"Dbpedia_URL_type_http://dbpedia.org/class/yago/MemberStatesOfTheCooperationCouncilForTheArabStatesOfTheGulf","https://en.wikipedia.org/wiki/Category:Member_states_of_the_Cooperation_Council_for_the_Arab_States_of_the_Gulf","MemberStatesOfTheCooperationCouncilForTheArabStatesOfTheGulf","Member states of the Cooperation Council for the Arab states of the Gulf"
