"id","orig","uri","friendly","friendlyshow"
511,"city_uri_type_http://dbpedia.org/class/yago/VikingAgePopulatedPlaces","https://en.wikipedia.org/wiki/Category:Viking_Age_populated_places","VikingAgePopulatedPlaces","Viking Age Populated Places"
528,"city_uri_type_http://dbpedia.org/class/yago/GermanStateCapitals","https://en.wikipedia.org/wiki/Category:German_state_capitals","GermanStateCapitals","German State Capitals"
529,"city_uri_type_http://dbpedia.org/class/yago/AustralianCapitalCities","https://en.wikipedia.org/wiki/Category:Australian_capital_cities","AustralianCapitalCities","Australian Capital Cities"
532,"city_uri_type_http://dbpedia.org/class/yago/IndianCapitalCities","https://en.wikipedia.org/wiki/Category:Indian_capital_cities","IndianCapitalCities","Indian Capital Cities"
539,"city_uri_type_http://dbpedia.org/class/yago/PopulatedPlacesInGabon","https://en.wikipedia.org/wiki/Category:Populated_places_in_Gabon","PopulatedPlacesInGabon","Populated Places In Gabon"
571,"city_uri_type_http://dbpedia.org/class/yago/NUTS1StatisticalRegionsOfTheEuropeanUnion","https://en.wikipedia.org/wiki/Category:NUTS_1_statistical_regions_of_the_European_Union","NUTS1StatisticalRegionsOfTheEuropeanUnion","NUTS1 Statistical Regions Of The European Union"
572,"city_uri_type_http://dbpedia.org/class/yago/RegionalCapitalsInGhana","https://en.wikipedia.org/wiki/Category:Regional_capitals_in_Ghana","RegionalCapitalsInGhana","Regional Capitals In Ghana"
573,"city_uri_type_http://dbpedia.org/class/yago/PortCitiesAndTownsOfTheBalticSea","https://en.wikipedia.org/wiki/Category:Port_cities_and_towns_of_the_Baltic_Sea","PortCitiesAndTownsOfTheBalticSea","Port Cities And  Towns Of The Baltic Sea"
577,"city_uri_type_http://dbpedia.org/class/yago/PopulatedCoastalPlacesInJapan","https://en.wikipedia.org/wiki/Category:Populated_coastal_places_in_Japan","PopulatedCoastalPlacesInJapan","Populated Coastal Place sIn Japan"
660,"city_uri_type_http://dbpedia.org/class/yago/PortSettlementsInJapan","https://en.wikipedia.org/wiki/Category:Port_settlements_in_Japan","PortSettlementsInJapan","Port Settlements In Japan"
