"uri","friendly","rating"
"https://en.wikipedia.org/wiki/Category:1990s_horror_films","X1990sHorrorFilms",-0.2
"https://en.wikipedia.org/wiki/Category:1999_films","X1999Films",0.2
"https://en.wikipedia.org/wiki/Category:2000_films","X2000Films",0.0
"https://en.wikipedia.org/wiki/Category:2000s_horror_films","X2000sHorrorFilms",-0.4
"https://en.wikipedia.org/wiki/Category:2000s_thriller_films","X2000sThrillerFilms",0.4
"https://en.wikipedia.org/wiki/Category:2003_films","X2003Films",0.0
"https://en.wikipedia.org/wiki/Category:2005_films","X2005Films",0.0
"https://en.wikipedia.org/wiki/Category:2007_films","X2007Films",0.0
"https://en.wikipedia.org/wiki/Category:2009_films","X2009Films",0.2
"https://en.wikipedia.org/wiki/Category:2010_films","X2010Films",-0.2
"https://en.wikipedia.org/wiki/Category:2010s_drama_films","X2010sDramaFilms",0.0
"https://en.wikipedia.org/wiki/Category:American_LGBT-related_films","AmericanLGBTrelatedFilms",0.2
"https://en.wikipedia.org/wiki/Category:American_horror_films","AmericanHorrorFilms",0.0
"https://en.wikipedia.org/wiki/Category:American_thriller_films","AmericanThrillerFilms",0.2
"https://en.wikipedia.org/wiki/Category:Buddy_films","BuddyFilms",0.0
"https://en.wikipedia.org/wiki/Category:Canadian_horror_films","CanadianHorrorFilms",0.2
"https://en.wikipedia.org/wiki/Category:Directorial_debut_films","DirectorialDebutFilms",0.6
"https://en.wikipedia.org/wiki/Category:English-language_films","EnglishlanguageFilms",0.8
"https://en.wikipedia.org/wiki/Category:Films_based_on_television_series","FilmsBasedOnTelevisionSeries",0.0
"https://en.wikipedia.org/wiki/Category:Films_featuring_a_Best_Supporting_Actor_Academy_Award_winning_performance","FilmsFeaturingABestSupportingActorAcademyAwardWinningPerformance",1.8
"https://en.wikipedia.org/wiki/Category:French-language_films","FrenchlanguageFilms",0.2
"https://en.wikipedia.org/wiki/Category:French_drama_films","FrenchDramaFilms",0.0
"https://en.wikipedia.org/wiki/Category:French_films","FrenchFilms",0.0
"https://en.wikipedia.org/wiki/Category:Independent_films","IndependentFilms",0.0
"https://en.wikipedia.org/wiki/Category:Serial_killer_films","SerialKillerFilms",0.0
"https://en.wikipedia.org/wiki/Category:Slasher_films","SlasherFilms",-0.2
"https://en.wikipedia.org/wiki/Category:Sony_Pictures_Classics_films","SonyPicturesClassicsFilms",0.6
"https://en.wikipedia.org/wiki/Category:Spanish-language_films","SpanishlanguageFilms",0.2
"https://en.wikipedia.org/wiki/Category:Spanish_films","SpanishFilms",-0.2
"https://en.wikipedia.org/wiki/Category:Supernatural_horror_films","SupernaturalHorrorFilms",0.4
